threshold,tp,fp,tn,fn,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,accuracy,predicted_positive_rate
0.22159955493663056,14244,34378,20683,2198,0.2929538069186788,0.8663179661841625,0.4378458133530063,0.3756379288425564,0.6243620711574436,0.1336820338158375,0.4884690152860719,0.6799994405829126
0.2220917261262266,14221,34222,20839,2221,0.29356150527423985,0.8649191095973726,0.43834476381289983,0.3784711501788925,0.6215288498211075,0.1350808904026274,0.49032907710166007,0.6774960491168203
0.2225,14204,34122,20939,2238,0.2939204568969085,0.86388517212018,0.4386116600790514,0.3802873177021848,0.6197126822978152,0.13611482787981996,0.49148986755800456,0.67585975413619
0.22273935823818697,14196,34068,20993,2246,0.2941322725012432,0.8633986133073835,0.4387846567551696,0.38126804816476273,0.6187319518352373,0.13660138669261648,0.49213319720850873,0.6749926576507279
0.2233597080799718,14174,33912,21149,2268,0.29476354864201637,0.8620605765721931,0.4393131663773866,0.3841012695010988,0.6158987304989012,0.13793942342780682,0.49400724445128175,0.6725032516118205
0.22392700793832593,14156,33751,21310,2286,0.2954891769470015,0.8609658192434011,0.43997575719902404,0.38702529921359946,0.6129747007864005,0.13903418075659896,0.49600716053871863,0.6699998601457281
0.22451565454919387,14142,33586,21475,2300,0.2963040563191418,0.8601143413210072,0.4407667134174848,0.39002197562703184,0.6099780243729681,0.13988565867899283,0.49811896004363454,0.6674964686796359
0.225,14124,33459,21602,2318,0.2968286993253893,0.859019583992215,0.44120265521280755,0.3923285083816131,0.6076714916183868,0.14098041600778494,0.49964337160678574,0.6654685817378292
0.22511237745756654,14121,33428,21633,2321,0.2969778544238575,0.8588371244374163,0.44134331390351766,0.39289152031383373,0.6071084796861662,0.14116287556258364,0.5000349635679622,0.6649930772135435
0.2257157523617525,14103,33268,21793,2339,0.29771379113803803,0.8577423671086243,0.4420102486954069,0.3957973883511015,0.6042026116488985,0.14225763289137575,0.5020208942282142,0.662503671174636
0.22625546363852128,14087,33105,21956,2355,0.29850398372605524,0.8567692494830312,0.4427507307414275,0.39875774141406806,0.6012422585859319,0.14323075051696874,0.5040767520243906,0.6600002797085437
0.22685576569217164,14071,32942,22119,2371,0.2993001935634824,0.8557961318574383,0.44349539043416586,0.40171809447703455,0.5982819055229655,0.14420386814256173,0.506132609820567,0.6574968882424513
0.2274522173712182,14055,32779,22282,2387,0.30010248964427555,0.8548230142318453,0.4442442632277641,0.4046784475400011,0.595321552459999,0.14517698576815471,0.5081884676167433,0.654993496776359
0.2275,14054,32764,22297,2388,0.30018369003374773,0.8547621943802457,0.4443250079038887,0.40495087266849494,0.5950491273315051,0.1452378056197543,0.5083842635973316,0.654769729941401
0.22802591453254842,14034,32622,22439,2408,0.30079732510288065,0.8535457973482544,0.44483184887001165,0.40752983055157005,0.5924701694484299,0.14645420265174552,0.5100904857138862,0.6525040907374515
0.22864410412161545,14011,32466,22595,2431,0.3014609376680939,0.8521469407614646,0.4453662645623738,0.4103630518879061,0.5896369481120939,0.14785305923853545,0.5119505475294743,0.6500006992713593
0.22930417847322385,13997,32301,22760,2445,0.30232407447405935,0.8512954628390706,0.4461906279885241,0.4133597283013385,0.5866402716986615,0.14870453716092932,0.5140623470343901,0.6474973078052669
0.22991185688271648,13973,32146,22915,2469,0.3029770810295106,0.8498357864006811,0.44670002077971904,0.4161747879624417,0.5838252120375583,0.1501642135993188,0.5158944379956085,0.6449939163391746
0.23,13971,32119,22942,2471,0.30312432197873723,0.849714146697482,0.4468432162732681,0.4166651531937306,0.5833348468062695,0.15028585330251795,0.5162440736752304,0.6445883389508132
0.23049239906859387,13959,31982,23079,2483,0.3038462375655732,0.8489843084782873,0.4475257682381418,0.4191533027006411,0.5808466972993589,0.15101569152171268,0.5179922520733395,0.6425045103002671
0.2310434627222143,13936,31826,23235,2506,0.30453214457410077,0.8475854518914974,0.4480740788373738,0.4219865240369772,0.5780134759630229,0.1524145481085026,0.5198523138889277,0.6400011188341748
0.2316858676036931,13912,31671,23390,2530,0.3052015005594191,0.8461257754531079,0.4485933091495365,0.4248015836980803,0.5751984163019197,0.15387422454689212,0.5216844048501461,0.6374977273680824
0.23228912737064375,13894,31510,23551,2548,0.3060082812087041,0.8450310181243158,0.44930957539695376,0.427725613410581,0.572274386589419,0.15496898187568423,0.523684320937583,0.6349943359019902
0.2325,13887,31458,23603,2555,0.3062520674826332,0.8446052791631189,0.4495120332756081,0.42867002052269304,0.571329979477307,0.15539472083688116,0.5243136651609024,0.6341691956980826
0.23288990079149896,13870,31356,23705,2572,0.3066819970813249,0.8435713416859263,0.4498281118246092,0.4305225113964512,0.5694774886035487,0.1564286583140737,0.5255024264716166,0.6325049298630827
0.23342665821863298,13849,31198,23863,2593,0.30743445734455127,0.8422941248023355,0.4504545528468506,0.4333920560832531,0.5666079439167468,0.15770587519766452,0.5274184299959442,0.6300015383969904
0.23398113797084216,13827,31041,24020,2615,0.3081706338593207,0.8409560880671452,0.4510520306638396,0.4362434390948221,0.5637565609051779,0.1590439119328549,0.5293064626659021,0.627498146930898
0.23452785639156729,13805,30884,24177,2637,0.30891270782519187,0.8396180513319548,0.4516530074757488,0.4390948221063911,0.5609051778936089,0.16038194866804525,0.53119449533586,0.6249947554648057
0.23500000000000001,13787,30768,24293,2655,0.3094377735383234,0.8385232940031626,0.4520550190993,0.44120157643341024,0.5587984235665898,0.16147670599683736,0.5325650671999776,0.6231207082220327
0.23513457398469528,13785,30725,24336,2657,0.309705684115929,0.8384016542999635,0.452323139519622,0.44198252846842595,0.5580174715315741,0.1615983457000365,0.5331384697145575,0.6224913639987133
0.23573941012721616,13765,30567,24494,2677,0.31049806009203285,0.8371852572679722,0.4529897653601869,0.44485207315522785,0.5551479268447722,0.16281474273202773,0.53506845866607,0.6200019579598058
